TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-05 02:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 03:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 04:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 05:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 06:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 07:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 08:00:00,34.12,72.0,3.83,11.52,2.88,0.23,January,Winter,Christmas & New Year,72.0,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 09:00:00,34.54,72.91,4.0,11.52,2.97,0.23,January,Winter,Christmas & New Year,72.91,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 10:00:00,36.25,76.62,4.09,11.5,3.38,0.23,January,Winter,Christmas & New Year,76.62,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 11:00:00,39.34,83.34,4.05,11.5,3.36,0.23,January,Winter,Christmas & New Year,83.34,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 12:00:00,42.14,89.43,4.05,11.49,2.72,0.23,January,Winter,Christmas & New Year,89.43,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 13:00:00,37.39,79.13,3.97,11.48,2.78,0.23,January,Winter,Christmas & New Year,79.13,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 14:00:00,40.62,86.16,4.06,11.48,2.28,0.23,January,Winter,Christmas & New Year,86.16,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 15:00:00,39.77,84.28,4.09,11.49,2.72,0.23,January,Winter,Christmas & New Year,84.28,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 16:00:00,38.39,81.28,4.0,11.5,2.59,0.23,January,Winter,Christmas & New Year,81.28,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 17:00:00,57.06,121.75,4.05,11.5,2.39,0.23,January,Winter,Christmas & New Year,114.78691275167785,Moderate,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 18:00:00,64.79,138.68,4.04,11.5,2.2,0.23,January,Winter,Christmas & New Year,126.03570469798659,Moderate,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 19:00:00,46.66,99.25,4.03,11.49,2.64,0.23,January,Winter,Christmas & New Year,99.25,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 20:00:00,40.52,85.94,4.07,11.5,2.62,0.23,January,Winter,Christmas & New Year,85.94,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 21:00:00,44.67,94.96,3.99,11.51,2.63,0.23,January,Winter,Christmas & New Year,94.96,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 22:00:00,47.24,100.53,3.99,11.51,2.57,0.23,January,Winter,Christmas & New Year,78.44,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 23:00:00,38.71,81.98,4.06,11.5,2.75,0.23,January,Winter,Christmas & New Year,81.98,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 00:00:00,35.3,74.55,3.99,11.51,2.7,0.23,January,Winter,Christmas & New Year,74.55,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 01:00:00,31.29,65.85,3.95,11.51,2.99,0.23,January,Winter,Christmas & New Year,65.85,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 02:00:00,31.73,66.81,4.14,11.5,3.1,0.23,January,Winter,Christmas & New Year,66.81,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 03:00:00,31.4,66.1,4.1,11.52,3.18,0.23,January,Winter,Christmas & New Year,66.1,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 04:00:00,29.7,62.38,4.02,11.52,3.12,0.23,January,Winter,Christmas & New Year,62.38,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 05:00:00,28.69,60.19,3.95,11.52,3.13,0.23,January,Winter,Christmas & New Year,60.19,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 06:00:00,27.77,58.19,3.97,11.52,2.92,0.23,January,Winter,Christmas & New Year,58.19,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-06 07:00:00,23.52,48.94,4.06,11.51,3.28,0.23,January,Winter,Christmas & New Year,48.94,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
